Easting,Northing,Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category
306261,206628,Peat,Peat soils,766.9,2050,Peat
306152,266776,Fine loamy,Luvisol: Well drained mineral soils,98,824,Well Drained
280762,222258,Peat,Peat soils,82.1,852,Peat
255900,441397,Peat,Peat soils,134,1410,Peat
114665,239963,Peat,Peat soils,5.8,1401,Peat
255180,169433,Fine loamy,Luvisol: Well drained mineral soils,124.3,967,Well Drained
147147,239513,Fine loamy,Brown Earth: Well drained mineral soils,66,1173,Well Drained
185686,225558,Coarse loamy,Brown Earth: Well drained mineral soils,42.9,974,Well Drained
205990,399287,Peat,Peat soils,147,1657,Well Drained
274093,127161,All,River alluvium,39.9,1055,AlluvMIN
200793,140393,Fine loamy,Luvisol: Well drained mineral soils,66.7,1001,Well Drained
100491,99655,Fine loamy,Surface-water Gley: Poorly drained mineral soil,252.6,1505,Well Drained
220576,429870,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,57,1344,Poorly Drained
310821,277499,Fine loamy,Brown Earth: Well drained mineral soils,24.1,789,Poorly Drained
277802,134985,Sandy,Brown Podzolic: Well drained acid mineral soil,116.7,1055,Well Drained
241408,205841,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,88.9,1100,Poorly Drained
296193,169102,Fine loamy,Brown Earth: Well drained mineral soils,163.2,1101,Poorly Drained
256476,255042,Fine loamy,Luvisol: Well drained mineral soils,86.8,970,Poorly Drained
129110,48920,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,88.5,1628,Well Drained
241158,125428,Fine loamy,Brown Earth: Well drained mineral soils,18.2,1103,Poorly Drained
298586,145768,Fine loamy,Brown Earth: Well drained mineral soils,39.5,1016,Well Drained
206339,334501,Peat,Peat soils,207,1311,Peat
262147,173190,Fine loamy,Luvisol: Well drained mineral soils,293.6,1178,Poorly Drained
121322,257346,Fine loamy,Brown Earth: Well drained mineral soils,24.6,1283,Well Drained
213011,93605,Coarse loamy,Brown Earth: Well drained mineral soils,76,1067,Well Drained
231043,439979,Peat,Peat soils,116,1277,Poorly Drained
106710,254350,Loamy,Podzols: Well drained acid mineral soil,7.481392,1918,Poorly Drained
274199,269216,Fine loamy,Luvisol: Well drained mineral soils,72.9,897,Well Drained
252594,330028,Fine loamy,Brown Earth: Well drained mineral soils,66.9,1021,Poorly Drained
168859,332232,Coarse loamy,Brown Earth: Well drained mineral soils,16.9,1198,Well Drained
297110,217211,Fine loamy,Luvisol: Well drained mineral soils,247.6,1031,Well Drained
119638,69998,Peat,Peat soils,218,1711,Poorly Drained
244071,429374,Peat,Peat soils,238.4,1649,Peat
224672,198954,Peat,Peat soils,362.4,1526,Poorly Drained
304266,248633,Fine loamy,Surface-water Gley: Poorly drained mineral soil,82.4,818,Poorly Drained
131009,96474,Fine loamy,Surface-water Gley: Poorly drained mineral soil,113.1,1190,Well Drained
295056,266113,Fine loamy,Surface-water Gley: Poorly drained mineral soil,72,856,Poorly Drained
110984,225401,Peat,Peat soils,74.9,1473,Peat
89962,88476,Loamy,Podzols: Well drained acid mineral soil,222.6,1817,Poorly Drained
223801,446471,Peat,Lithosols: Stony mineral soils often overlying bedrock,44,1160,Well Drained
204132,387781,Peat,Peat soils,179,2184,Peat
163104,178975,Peat,Peat soils,253.5,1320,Peat
110556,303737,Peat,Peat soils,56.3,1669,Peat
84053,107664,Peat,Peat soils,286,1875,Peat
160900,99513,All,River alluvium,37.8,1036,AlluvMIN
204147,177444,Fine loamy,Brown Earth: Well drained mineral soils,200.5,1217,Well Drained
232427,313946,Fine loamy,Surface-water Gley: Poorly drained mineral soil,65,1055,Poorly Drained
107692,271877,Peat,Peat soils,339.4,1931,Poorly Drained
183131,153550,All,River alluvium,130.5,1262,AlluvMIN
114128,78801,Peat,Peat soils,392,1993,Peat
319175,194402,Fine loamy,Brown Podzolic: Well drained acid mineral soil,274,1415,Well Drained
204960,276732,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,40.9,970,Poorly Drained
144694,329577,Peat,Peat soils,144.9,1365,Peat
70447,243047,Peat,Peat soils,50,1519,Peat
182313,401347,Loamy,Brown Podzolic: Well drained acid mineral soil,7,1578,Poorly Drained
248191,184256,Fine loamy,Luvisol: Well drained mineral soils,174,1032,Well Drained
197636,244465,Coarse loamy,Brown Earth: Well drained mineral soils,49.4,967,Well Drained
190670,150941,Loamy,Podzols: Well drained acid mineral soil,247.3,1369,Well Drained
108126,126900,Fine loamy,Surface-water Gley: Poorly drained mineral soil,120.1,1303,Poorly Drained
210729,101702,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,108,1253,Well Drained
220953,176054,Peat,Peat soils,131.4,939,Poorly Drained
112357,133661,Fine loamy,Brown Podzolic: Well drained acid mineral soil,181.8,1264,Well Drained
290138,161372,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,94,983,Well Drained
259251,171873,Fine loamy,Surface-water Gley: Poorly drained mineral soil,211.9,1098,Poorly Drained
196278,146784,Fine loamy,Brown Earth: Well drained mineral soils,165.6,1166,Well Drained
229049,195238,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,147.8,1179,Well Drained
60679,319567,Sandy,Brown Podzolic: Well drained acid mineral soil,38,1454,Poorly Drained
147405,272953,Peat,Peat soils,61.7,1225,Peat
309743,134310,Sandy,Brown Podzolic: Well drained acid mineral soil,41.9,999,Well Drained
96846,117026,Peat,Peat soils,199.3,1624,Peat
300360,310790,Fine loamy,Brown Earth: Well drained mineral soils,24.4,907,Well Drained
210607,92354,Coarse loamy,Brown Earth: Well drained mineral soils,8,1113,Well Drained
284823,263359,Fine loamy,Luvisol: Well drained mineral soils,57.8,852,Well Drained
103222,273610,Peat,Peat soils,84.4,1814,Poorly Drained
291181,225990,Fine loamy,Surface-water Gley: Poorly drained mineral soil,66.1,804,Poorly Drained
114929,84663,Peat,Lithosols: Stony mineral soils often overlying bedrock,410,2094,Poorly Drained
163740,233163,Peat,Peat soils,100.3,1148,Peat
149027,105035,Clayey,Surface-water Gley: Poorly drained mineral soil,125.6,1076,Well Drained
199491,126959,Peat,Peat soils,267,1437,Well Drained
270280,164616,Fine loamy,Luvisol: Well drained mineral soils,50.4,936,Well Drained
122160,238744,Peat,Peat soils,4.6,1286,Peat
134866,210702,Fine loamy,Brown Earth: Well drained mineral soils,7.1,1206,Well Drained
284437,283882,Fine loamy,Luvisol: Well drained mineral soils,47,858,Well Drained
175808,267574,Peat,Peat soils,53.5,1072,Peat
121155,198212,Loamy,"Rendzinas: Well drained shallow soils with high lime content, derived from limestone",139,1653,Well Drained
122415,156518,Fine loamy,Surface-water Gley: Poorly drained mineral soil,97.4,1202,Well Drained
237918,225249,Fine loamy,Luvisol: Well drained mineral soils,70.9,867,Well Drained
189689,276398,Coarse loamy,Brown Earth: Well drained mineral soils,47.8,1063,Poorly Drained
186817,209548,Coarse loamy,Brown Earth: Well drained mineral soils,49.9,944,Well Drained
146233,226765,Fine loamy,Brown Earth: Well drained mineral soils,48.2,1182,Well Drained
160001,201723,Coarse loamy,Brown Earth: Well drained mineral soils,129.2,1369,Poorly Drained
234286,126240,Fine loamy,Brown Earth: Well drained mineral soils,33,1066,Poorly Drained
140596,333565,Peat,Peat soils,58.9,1115,Peat
141350,124693,Clayey,Surface-water Gley: Poorly drained mineral soil,114.5,926,Poorly Drained
309434,180586,Fine loamy,Brown Earth: Well drained mineral soils,164,1182,Well Drained
90514,114385,Coarse loamy,Brown Earth: Well drained mineral soils,51.5,1445,Poorly Drained
226377,164375,Peat,Peat soils,122.6,896,Peat
250266,305200,Fine loamy,Luvisol: Well drained mineral soils,100.7,1069,Poorly Drained
163963,281239,Peat,Peat soils,74.1,1225,Peat
59344,44894,Peat,Lithosols: Stony mineral soils often overlying bedrock,63,1582,Poorly Drained
219393,319896,Peat,Peat soils,54.4,1478,Peat
93463,257537,Loamy,Podzols: Well drained acid mineral soil,469.7,2652,Poorly Drained
154297,290813,Peat,Peat soils,81.2,1239,Peat
201104,147166,Fine loamy,Luvisol: Well drained mineral soils,90.8,1024,Poorly Drained
259971,186925,Fine loamy,Surface-water Gley: Poorly drained mineral soil,220.1,1053,Poorly Drained
209989,253429,Peat,Peat soils,42.6,910,Well Drained
310196,124512,All,Marine alluvium,-2,901,Well Drained
171393,259680,Peat,Peat soils,90.4,1113,Peat
118946,93651,Fine loamy,Surface-water Gley: Poorly drained mineral soil,142.9,1565,Poorly Drained
290118,214904,Fine loamy,Groundwater Gley: Poorly drained mineral soil,121.6,886,Poorly Drained
204242,181290,Fine loamy,Luvisol: Well drained mineral soils,152.6,1096,Well Drained
42159,105003,Coarse loamy,Brown Earth: Well drained mineral soils,56.3,1647,Poorly Drained
148770,234227,Fine loamy,Brown Earth: Well drained mineral soils,58.5,1193,Well Drained
239813,423491,Loamy,Brown Podzolic: Well drained acid mineral soil,58.1,1209,Poorly Drained
294220,166696,Fine loamy,Brown Podzolic: Well drained acid mineral soil,177.9,1060,Well Drained
256083,210272,Fine loamy,Groundwater Gley: Poorly drained mineral soil,80.6,833,Well Drained
120181,297323,Peat,Peat soils,25.4,1393,Peat
275160,315139,Peat,Peat soils,194.6,1085,Peat
147607,38590,Coarse loamy,Brown Earth: Well drained mineral soils,19.7,1106,Well Drained
153174,103691,Clayey,Surface-water Gley: Poorly drained mineral soil,98.1,1031,Poorly Drained
190298,164317,Peat,Peat soils,307,1686,Peat
179499,111984,Coarse loamy,Brown Earth: Well drained mineral soils,120.5,1096,Well Drained
160265,124972,Clayey,Surface-water Gley: Poorly drained mineral soil,91.4,939,Poorly Drained
140429,70537,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,90.4,1230,Well Drained
162950,316359,Peat,Peat soils,65.7,1230,Peat
87730,82418,Peat,Peat soils,35.2,2452,Peat
267147,306153,Peat,Peat soils,103.6,1020,Peat
80622,93004,Peat,Peat soils,17,1451,Peat
269159,289063,Fine loamy,Surface-water Gley: Poorly drained mineral soil,100.4,995,Peat
320002,209731,Fine loamy,Brown Podzolic: Well drained acid mineral soil,315.8,1377,Well Drained
246402,151953,Fine loamy,Luvisol: Well drained mineral soils,78.9,932,Poorly Drained
134414,187036,Fine loamy,Brown Earth: Well drained mineral soils,11.1,1193,Well Drained
298650,312936,Fine loamy,Brown Earth: Well drained mineral soils,68,941,Well Drained
174070,54840,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,77,1090,Well Drained
78666,320341,Peat,Peat soils,7.8,1442,Peat
290092,270792,Fine loamy,Luvisol: Well drained mineral soils,47.4,845,Well Drained
294991,293919,Fine loamy,Brown Earth: Well drained mineral soils,31.5,806,Well Drained
212970,95280,Coarse loamy,Brown Earth: Well drained mineral soils,11,1038,Well Drained
215971,129335,Fine loamy,Luvisol: Well drained mineral soils,95.8,967,Well Drained
153080,180836,Loamy,"Rendzinas: Well drained shallow soils with high lime content, derived from limestone",44.5,1046,Well Drained
286197,151830,Loamy,Podzols: Well drained acid mineral soil,374.1,1345,Poorly Drained
140346,57618,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,119,1465,Well Drained
97468,103010,Fine loamy,Surface-water Gley: Poorly drained mineral soil,128,1318,Well Drained
252904,301854,Fine loamy,Surface-water Gley: Poorly drained mineral soil,118.8,1133,Well Drained
194629,425724,Peat,Peat soils,217.8,1939,Peat
309395,247365,Fine loamy,Surface-water Gley: Poorly drained mineral soil,72.5,793,Poorly Drained
279854,250585,Fine loamy,Luvisol: Well drained mineral soils,74.6,843,Well Drained
213949,414115,Loamy,Brown Podzolic: Well drained acid mineral soil,169,1405,Poorly Drained
85259,71071,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,88.6,2049,Well Drained
239021,232943,Coarse loamy,Brown Earth: Well drained mineral soils,85,896,Well Drained
172848,97803,Fine loamy,Brown Earth: Well drained mineral soils,98.4,1168,Well Drained
215866,213645,All,Lake alluvium,56.4,895,Poorly Drained
270407,316516,Fine loamy,Brown Earth: Well drained mineral soils,167.8,1030,Well Drained
73519,49908,Peat,Peat soils,401.4,2222,Peat
133865,43992,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,121.6,1508,Well Drained
63636,82746,Peat,Peat soils,704,2589,Peat
197359,86482,Fine loamy,Brown Earth: Well drained mineral soils,213.8,1334,Well Drained
268951,244298,Fine loamy,Luvisol: Well drained mineral soils,69.6,876,Well Drained
104965,143176,Fine loamy,Surface-water Gley: Poorly drained mineral soil,55.3,1125,Poorly Drained
264108,102736,Coarse loamy,Brown Earth: Well drained mineral soils,25,960,Poorly Drained
96492,44397,Peat,Peat soils,101,1571,Peat
308310,316684,Peat,Lithosols: Stony mineral soils often overlying bedrock,197.1,1027,Poorly Drained
203378,127935,Loamy,Podzols: Well drained acid mineral soil,51.8,1069,Well Drained
194791,190619,Fine loamy,Luvisol: Well drained mineral soils,81.3,935,Well Drained
197284,329303,Clayey,Surface-water Gley: Poorly drained mineral soil,65.5,1332,Peat
139716,257198,Peat,Peat soils,39.2,1152,Peat
234665,237588,Fine loamy,Luvisol: Well drained mineral soils,77.6,947,Poorly Drained
170278,216587,Coarse loamy,Brown Earth: Well drained mineral soils,70.5,1112,Well Drained
294519,253863,Fine loamy,Luvisol: Well drained mineral soils,98.7,878,Well Drained
193025,80873,Fine loamy,Brown Earth: Well drained mineral soils,93.1,1244,Well Drained
172843,221328,Fine loamy,Brown Earth: Well drained mineral soils,99.2,1128,Poorly Drained
270743,342026,Fine loamy,Brown Earth: Well drained mineral soils,38.5,926,Well Drained
303686,157732,Fine loamy,Brown Earth: Well drained mineral soils,148,1134,Well Drained
125039,309425,Peat,Peat soils,16.8,1191,Peat
157340,310014,Coarse loamy,Brown Earth: Well drained mineral soils,78.3,1239,Well Drained
180836,294102,Fine loamy,Luvisol: Well drained mineral soils,101.9,1171,Poorly Drained
150182,214649,Coarse loamy,Brown Earth: Well drained mineral soils,39.6,1059,Well Drained
229099,192300,All,River alluvium,104.7,1026,Poorly Drained
207675,391731,Peat,Peat soils,218,1752,Peat
108974,54188,Loamy,Podzols: Well drained acid mineral soil,161,1798,Well Drained
315959,136169,Sandy,Brown Podzolic: Well drained acid mineral soil,32.6,924,Well Drained
236131,189637,Fine loamy,Luvisol: Well drained mineral soils,108.6,934,Well Drained
318198,183277,Fine loamy,Brown Earth: Well drained mineral soils,96.4,1272,Well Drained
137483,155294,Fine loamy,Luvisol: Well drained mineral soils,0.9000001,980,Well Drained
198822,182751,Fine loamy,Luvisol: Well drained mineral soils,106.9,926,Poorly Drained
113702,297341,Peat,Peat soils,140.8,1518,Poorly Drained
119265,321763,Coarse loamy,Brown Earth: Well drained mineral soils,33.8,1242,Well Drained
218492,242964,Clayey,Surface-water Gley: Poorly drained mineral soil,76.5,975,Well Drained
200121,275327,Peat,Peat soils,45.2,1045,Poorly Drained
115090,203551,Peat,Peat soils,335.8,1850,Peat
305588,184679,Peat,Lithosols: Stony mineral soils often overlying bedrock,361,1457,Poorly Drained
252255,211251,All,River alluvium,64.7,830,AlluvMIN
181886,122444,Loamy,Podzols: Well drained acid mineral soil,242.6,1701,Well Drained
222849,272705,Fine loamy,Luvisol: Well drained mineral soils,120,1056,Well Drained
188080,356374,Peat,Peat soils,55.2,1336,Peat
138635,170366,Fine loamy,Luvisol: Well drained mineral soils,25.4,1102,Well Drained
159526,218044,Coarse loamy,Brown Earth: Well drained mineral soils,81.58069,1135,Poorly Drained
90197,249913,Peat,Peat soils,200.2,2385,Peat
122237,184136,Fine loamy,Surface-water Gley: Poorly drained mineral soil,75.5,1402,Poorly Drained
185148,296165,Peat,Peat soils,101.7,1177,Peat
167952,273696,Peat,Peat soils,70.2,1138,Peat
108063,37994,Coarse loamy,Brown Earth: Well drained mineral soils,86.7,1509,Well Drained
311417,177751,Fine loamy,Brown Earth: Well drained mineral soils,112.3,1183,Well Drained
114173,128318,Fine loamy,Surface-water Gley: Poorly drained mineral soil,128,1242,Poorly Drained
168949,321086,Peat,Peat soils,45,1222,Well Drained
89755,326118,Peat,Peat soils,103,1615,Peat
183742,341454,Fine loamy,Luvisol: Well drained mineral soils,73.6,1618,Well Drained
185823,245824,Fine loamy,Luvisol: Well drained mineral soils,60.2,987,Well Drained
117974,105335,Fine loamy,Surface-water Gley: Poorly drained mineral soil,273,1680,Poorly Drained
195028,381417,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,27,1588,Poorly Drained
262734,325270,Fine loamy,Brown Earth: Well drained mineral soils,154.2,1114,Poorly Drained
140538,155542,Fine loamy,Luvisol: Well drained mineral soils,11.7,991,Well Drained
246404,254785,Fine loamy,Luvisol: Well drained mineral soils,101.1,993,Well Drained
150532,229674,Fine loamy,Brown Earth: Well drained mineral soils,47.1,1195,Well Drained
270796,283500,Fine loamy,Brown Earth: Well drained mineral soils,110.1,958,Poorly Drained
185414,354069,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,49.8,1405,Well Drained
230860,258696,Fine loamy,Luvisol: Well drained mineral soils,85.5,949,Well Drained
246994,454451,Peat,Peat soils,105.5,1267,Poorly Drained
300041,161812,Fine loamy,Brown Earth: Well drained mineral soils,77,1068,Well Drained
184696,289508,Fine loamy,Luvisol: Well drained mineral soils,89.9,1122,Poorly Drained
212119,259586,Peat,Peat soils,46.8,949,Poorly Drained
180549,148046,Clayey,Surface-water Gley: Poorly drained mineral soil,51.8,1006,Poorly Drained
128098,273531,Peat,Peat soils,47.5,1255,Peat
255989,308261,Fine loamy,Surface-water Gley: Poorly drained mineral soil,116.5,1078,Poorly Drained
177886,63329,Coarse loamy,Brown Earth: Well drained mineral soils,3.5,1109,Well Drained
103851,89541,Fine loamy,Surface-water Gley: Poorly drained mineral soil,122,1525,Well Drained
287171,232501,Fine loamy,Surface-water Gley: Poorly drained mineral soil,75.7,845,Poorly Drained
171628,67185,Fine loamy,Brown Earth: Well drained mineral soils,126,1163,Well Drained
213428,217897,Peat,Peat soils,48.9,897,Peat
116709,135247,Peat,Peat soils,126,1355,Peat
233839,280723,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,117.2,1044,Well Drained
180076,210432,Coarse loamy,Brown Earth: Well drained mineral soils,46.9,973,Well Drained
268309,342655,Fine loamy,Surface-water Gley: Poorly drained mineral soil,63.3,1016,Poorly Drained
251593,440539,Peat,Peat soils,209.9,1535,Peat
71476,253058,Peat,Peat soils,203,2015,Peat
232760,99191,Peat,Peat soils,49.6,1238,Peat
106642,287887,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,55.1,1379,Poorly Drained
297546,287215,Fine loamy,Brown Earth: Well drained mineral soils,112.6,839,Well Drained
253028,210781,Fine loamy,Groundwater Gley: Poorly drained mineral soil,70.8,830,Poorly Drained
234509,215257,Peat,Peat soils,83.4,973,Peat
289249,272239,Fine loamy,Brown Earth: Well drained mineral soils,75.8,847,Well Drained
114500,255451,Fine loamy,Luvisol: Well drained mineral soils,7.481392,1439,Well Drained
49949,97928,Peat,Lithosols: Stony mineral soils often overlying bedrock,85.4,1552,Poorly Drained
194513,265704,Peat,Peat soils,34.7,1002,Well Drained
275746,274343,Fine loamy,Brown Earth: Well drained mineral soils,60.9,924,Well Drained
132091,130699,Fine loamy,Luvisol: Well drained mineral soils,59.3,996,Poorly Drained
194872,241920,Peat,Peat soils,55.9,977,Peat
274583,186077,Fine loamy,Luvisol: Well drained mineral soils,78.2,790,Poorly Drained
224325,224900,Peat,Peat soils,52.2,864,Peat
67056,255967,Peat,Peat soils,49,1539,Peat
35232,98229,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,113.5,1382,Poorly Drained
281989,309914,Fine loamy,Brown Earth: Well drained mineral soils,161.5,1059,Well Drained
270102,187049,Fine loamy,Luvisol: Well drained mineral soils,57.6,795,Well Drained
206273,284881,Fine loamy,Surface-water Gley: Poorly drained mineral soil,42.4,1101,Poorly Drained
203665,160707,Fine loamy,Brown Earth: Well drained mineral soils,156.3,1080,Well Drained
217620,428769,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,70,1384,Poorly Drained
79045,270684,Peat,Peat soils,210,1822,Peat
176697,280108,Fine loamy,Luvisol: Well drained mineral soils,125.2,1179,Poorly Drained
185500,156737,Fine loamy,Brown Earth: Well drained mineral soils,304,1367,Well Drained
296887,304276,Fine loamy,Brown Earth: Well drained mineral soils,24.4,830,Well Drained
230617,292123,Fine loamy,Brown Earth: Well drained mineral soils,83.6,1055,Poorly Drained
250167,451756,Peat,Peat soils,95.5,1246,Well Drained
103465,330688,Peat,Peat soils,222,1685,Peat
243631,424645,Loamy,Brown Podzolic: Well drained acid mineral soil,99.4,1261,Well Drained
126325,248663,Peat,Peat soils,9.6,1217,Peat
166508,283192,Fine loamy,Luvisol: Well drained mineral soils,89.6,1223,Poorly Drained
115677,90772,Fine loamy,Luvisol: Well drained mineral soils,186,1588,Poorly Drained
325915,207245,Fine loamy,Brown Earth: Well drained mineral soils,101.7,1087,Well Drained
229389,164724,Fine loamy,Luvisol: Well drained mineral soils,127.7,909,Well Drained
59738,77432,Peat,Peat soils,99,2036,Peat
90969,57617,Peat,Peat soils,31,2433,Poorly Drained
159483,80752,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,110.8,1211,Well Drained
197666,241056,Coarse loamy,Brown Earth: Well drained mineral soils,47.3,964,Well Drained
262614,291535,Peat,Peat soils,110.6,1011,Peat
197115,97523,Coarse loamy,Brown Earth: Well drained mineral soils,64,1089,Well Drained
102478,168333,Fine loamy,Brown Earth: Well drained mineral soils,31,1221,Poorly Drained
288189,193827,Fine loamy,Brown Earth: Well drained mineral soils,207.2,1098,Poorly Drained
254343,198520,Fine loamy,Luvisol: Well drained mineral soils,194.7,859,Well Drained
81126,304514,Peat,Peat soils,5.5,1624,Peat
111536,95651,Fine loamy,Surface-water Gley: Poorly drained mineral soil,218,1608,Poorly Drained
166786,117008,Fine loamy,Brown Earth: Well drained mineral soils,311.8,1462,Well Drained
118656,105886,Fine loamy,Surface-water Gley: Poorly drained mineral soil,256,1659,Poorly Drained
297222,290387,Fine loamy,Brown Earth: Well drained mineral soils,32.7,786,Well Drained
209623,220400,Peat,Peat soils,48.2,898,Peat
269094,294517,Fine loamy,Brown Earth: Well drained mineral soils,146.8,1051,Poorly Drained
271552,138586,Peat,Lithosols: Stony mineral soils often overlying bedrock,107.5,1078,Well Drained
126565,63218,Peat,Peat soils,163.4,1686,Poorly Drained
190374,150021,Loamy,Podzols: Well drained acid mineral soil,272.7,1321,Well Drained
244293,247084,Fine loamy,Luvisol: Well drained mineral soils,127.5,1020,Well Drained
177292,142889,Fine loamy,Luvisol: Well drained mineral soils,128.8,1059,Poorly Drained
179016,218399,Fine loamy,Luvisol: Well drained mineral soils,70.5,1043,Poorly Drained
106164,221582,Peat,Lithosols: Stony mineral soils often overlying bedrock,25.1,1332,Well Drained
145772,260250,Coarse loamy,Brown Earth: Well drained mineral soils,55,1159,Well Drained
271698,139395,Coarse loamy,Brown Earth: Well drained mineral soils,53.2,1078,Well Drained
300416,283713,Fine loamy,Brown Earth: Well drained mineral soils,151.4,949,Poorly Drained
203777,91224,Fine loamy,Brown Earth: Well drained mineral soils,76.8,1268,Well Drained
246758,166842,Fine loamy,Luvisol: Well drained mineral soils,80.6,875,Well Drained
250568,289485,All,River alluvium,75.5,1007,AlluvMIN
122991,52403,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,62.9,1746,Well Drained
120125,124861,Fine loamy,Surface-water Gley: Poorly drained mineral soil,164,1274,Poorly Drained
239689,271650,Peat,Peat soils,62.8,950,Peat
327573,180113,Fine loamy,Brown Earth: Well drained mineral soils,23,952,Poorly Drained
254864,265985,Fine loamy,Luvisol: Well drained mineral soils,92.4,970,Well Drained
275790,297927,Fine loamy,Surface-water Gley: Poorly drained mineral soil,144.2,1065,Poorly Drained
103216,85797,Coarse loamy,Brown Earth: Well drained mineral soils,100,1832,Well Drained
147553,267217,Peat,Peat soils,92.5,1211,Peat
246923,317212,Fine loamy,Surface-water Gley: Poorly drained mineral soil,91.5,1035,Well Drained
274753,194989,Fine loamy,Luvisol: Well drained mineral soils,88.7,828,Well Drained
126465,90473,Peat,Peat soils,108.3,1581,Poorly Drained
58390,83989,Loamy,Podzols: Well drained acid mineral soil,266,2551,Poorly Drained
273848,229315,Peat,Peat soils,83.6,847,Peat
125586,126427,Fine loamy,Brown Earth: Well drained mineral soils,110.9,1192,Well Drained
161804,382270,Peat,Peat soils,153,2130,Peat
158930,191105,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,150.7,1261,Poorly Drained
170513,237219,Fine loamy,Groundwater Gley: Poorly drained mineral soil,70.4,1155,Poorly Drained
115259,104693,Peat,Peat soils,240,1669,Peat
115544,334600,Coarse loamy,Brown Earth: Well drained mineral soils,60.5,1320,Poorly Drained
144544,197545,Fine loamy,Brown Earth: Well drained mineral soils,30.2,1090,Poorly Drained
119464,170705,Peat,Peat soils,210,1617,Peat
234717,245044,Fine loamy,Luvisol: Well drained mineral soils,93,1018,Well Drained
305115,257853,Fine loamy,Luvisol: Well drained mineral soils,106.5,842,Well Drained
233435,402671,Loamy,Brown Podzolic: Well drained acid mineral soil,15,1004,Poorly Drained
169831,380864,Peat,Peat soils,184,2063,Poorly Drained
240217,189839,All,River alluvium,86,919,AlluvMIN
251529,432613,Loamy,Brown Podzolic: Well drained acid mineral soil,45.8,1312,Poorly Drained
94592,149789,Fine loamy,Surface-water Gley: Poorly drained mineral soil,-3.2,1151,Poorly Drained
98969,296642,Loamy,Podzols: Well drained acid mineral soil,41.7,1487,Poorly Drained
229243,87632,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,78,1160,Well Drained
197750,299253,Loamy,Surface-water Gley: Poorly drained mineral soil,68.4,1083,Poorly Drained
148266,75664,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,87.6,1212,Well Drained
110163,315328,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,37.8,1397,Well Drained
135078,276843,Coarse loamy,Brown Earth: Well drained mineral soils,79,1230,Well Drained
145367,333309,Coarse loamy,Brown Earth: Well drained mineral soils,53.9,1211,Well Drained
202977,69061,Coarse loamy,Brown Earth: Well drained mineral soils,62.6,992,Well Drained
205354,214665,Peat,Peat soils,52.9,869,Peat
148233,160129,Coarse loamy,Brown Podzolic: Well drained acid mineral soil,11.7,1045,Well Drained
191442,150180,Loamy,Podzols: Well drained acid mineral soil,151.6,1310,Poorly Drained
190342,151586,Loamy,Podzols: Well drained acid mineral soil,371.5,1471,Poorly Drained
293851,209832,Fine loamy,Luvisol: Well drained mineral soils,179.9,952,Well Drained
145356,179571,Peat,Peat soils,32.8,1182,Peat
202061,300521,Loamy,Surface-water Gley: Poorly drained mineral soil,85.8,1107,Poorly Drained
237134,125263,Fine loamy,Brown Earth: Well drained mineral soils,24.7,1032,Poorly Drained
277392,199847,Fine loamy,Luvisol: Well drained mineral soils,124.2,870,Well Drained
236357,217117,Fine loamy,Luvisol: Well drained mineral soils,92.5,951,Well Drained
189226,85070,Fine loamy,Brown Earth: Well drained mineral soils,212.9,1304,Well Drained
276584,259907,Fine loamy,Luvisol: Well drained mineral soils,64.2,853,Well Drained
172952,375111,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,29,1524,Poorly Drained
244590,429844,Peat,Peat soils,223.4,1611,Peat
195016,433926,Peat,Peat soils,4,1248,Peat
208733,434796,Coarse loamy,Groundwater Gley: Poorly drained mineral soil,27,1178,Poorly Drained
205296,246565,Fine loamy,Luvisol: Well drained mineral soils,37.068737,912,Well Drained
113983,254966,Fine loamy,Brown Earth: Well drained mineral soils,7.481392,1439,Well Drained
297985,266748,Fine loamy,Surface-water Gley: Poorly drained mineral soil,54.1,844,Poorly Drained
298913,112889,Fine loamy,Surface-water Gley: Poorly drained mineral soil,30.6,1010,Poorly Drained
